Fast_EMA,Slow_EMA,ATR_Stop,Return_%,Num_Trades,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Max_DD_%,Sharpe
15,30,1.0,128.88,21,47.6,1.38,-1.38,-25.11,0.72
5,15,1.5,123.42,40,40.0,3.45,-1.46,-43.8,0.62
12,30,1.0,120.94,21,38.1,1.61,-1.3,-25.46,0.7
15,30,2.0,120.22,17,41.2,3.85,-2.03,-25.11,0.69
12,30,1.5,120.22,19,31.6,2.66,-1.76,-25.15,0.69
8,30,1.0,118.03,23,34.8,1.63,-1.42,-44.61,0.6
15,30,0.5,118.03,23,43.5,1.63,-1.04,-25.11,0.69
10,30,1.0,117.21,21,38.1,1.58,-1.55,-44.87,0.6
15,30,1.5,115.72,18,38.9,2.15,-1.95,-25.11,0.68
15,25,1.5,113.87,20,35.0,2.38,-1.87,-48.55,0.58
10,30,0.5,112.91,22,31.8,1.61,-1.02,-44.51,0.59
12,30,2.0,112.69,19,36.8,3.41,-1.93,-25.1,0.67
12,30,0.5,112.48,23,34.8,1.5,-0.84,-24.98,0.67
10,30,1.5,111.82,19,31.6,2.55,-1.69,-44.61,0.59
10,25,1.0,111.04,22,31.8,1.43,-1.65,-44.61,0.58
8,30,1.5,109.21,23,34.8,1.88,-1.73,-44.61,0.58
5,15,1.0,108.04,42,42.9,2.37,-1.21,-43.8,0.58
10,25,0.5,107.78,24,33.3,1.33,-1.05,-44.61,0.57
8,30,0.5,106.96,27,29.6,1.38,-1.07,-44.51,0.57
15,25,1.0,106.48,21,38.1,1.67,-1.28,-48.22,0.55
15,25,2.0,106.25,20,40.0,3.06,-2.09,-48.37,0.55
8,25,1.5,105.96,21,33.3,1.84,-1.93,-44.61,0.57
5,15,0.5,104.88,46,45.7,1.52,-0.99,-43.94,0.57
8,25,0.5,104.45,23,52.2,1.03,-1.24,-44.61,0.56
10,30,2.0,103.92,19,36.8,3.31,-1.95,-44.54,0.56
8,25,1.0,103.6,21,38.1,1.43,-1.81,-44.61,0.56
10,25,1.5,99.53,22,31.8,1.78,-2.05,-44.61,0.55
15,25,0.5,98.09,23,34.8,1.65,-1.06,-48.13,0.53
12,25,1.0,97.19,22,31.8,1.7,-1.58,-48.84,0.54
5,15,2.0,96.23,37,40.5,3.34,-2.12,-43.72,0.54
8,30,2.0,94.21,23,34.8,2.49,-2.23,-44.54,0.53
8,25,2.0,94.16,21,33.3,2.81,-2.38,-44.54,0.53
5,25,1.5,93.02,28,32.1,3.09,-2.01,-43.5,0.53
5,25,1.0,92.5,28,35.7,1.7,-1.62,-43.5,0.53
5,25,0.5,92.13,31,45.2,0.72,-1.19,-42.94,0.53
12,25,0.5,90.64,24,25.0,1.75,-1.05,-48.84,0.52
8,15,1.5,90.18,29,37.9,3.43,-2.15,-43.5,0.52
12,25,1.5,89.56,21,28.6,2.55,-1.95,-49.16,0.52
15,20,1.0,89.18,21,33.3,1.79,-1.59,-48.84,0.52
10,25,2.0,88.51,22,31.8,2.75,-2.16,-44.54,0.51
5,20,1.5,87.73,30,36.7,3.18,-2.13,-43.5,0.51
12,20,1.0,87.32,20,35.0,1.43,-1.64,-48.84,0.51
15,20,0.5,86.52,22,31.8,1.75,-1.03,-48.84,0.51
5,30,1.5,86.44,24,33.3,3.11,-1.75,-44.61,0.51
5,30,0.5,85.52,26,42.3,0.55,-1.4,-44.51,0.51
8,15,1.0,85.28,29,44.8,2.05,-1.94,-43.5,0.51
15,20,1.5,85.07,20,35.0,2.64,-2.13,-49.16,0.5
12,20,0.5,83.93,22,40.9,1.18,-1.12,-48.84,0.5
5,30,1.0,81.04,25,28.0,1.86,-1.64,-44.87,0.49
12,25,2.0,80.44,21,33.3,3.31,-2.17,-48.98,0.49
10,15,1.5,79.36,25,32.0,3.17,-2.02,-43.5,0.48
15,20,2.0,78.41,20,40.0,3.24,-2.32,-48.98,0.48
10,20,1.0,78.2,22,36.4,1.43,-1.62,-44.61,0.48
8,15,0.5,77.85,29,44.8,1.31,-1.25,-43.04,0.48
10,20,1.5,76.74,22,31.8,1.8,-1.91,-44.61,0.48
12,20,1.5,76.4,20,35.0,1.84,-2.11,-49.16,0.47
12,15,1.5,76.32,23,34.8,2.48,-1.77,-44.61,0.47
10,20,0.5,76.12,24,41.7,1.21,-1.11,-44.61,0.47
8,20,1.5,75.98,26,30.8,2.66,-1.99,-43.5,0.47
8,20,1.0,74.76,27,33.3,1.4,-1.61,-43.5,0.47
5,20,1.0,74.59,31,35.5,1.83,-1.77,-43.5,0.47
5,20,0.5,74.51,31,48.4,0.89,-1.15,-43.04,0.47
5,30,2.0,74.27,23,34.8,3.8,-2.26,-44.54,0.47
12,15,1.0,73.65,23,34.8,1.29,-1.38,-44.61,0.46
12,15,0.5,73.14,24,45.8,0.88,-0.85,-44.61,0.46
5,25,2.0,72.77,27,29.6,3.33,-2.55,-43.42,0.46
10,15,2.0,72.54,25,36.0,3.61,-2.69,-43.42,0.46
12,20,2.0,71.27,20,35.0,2.81,-2.33,-48.98,0.45
8,15,2.0,69.76,28,35.7,3.66,-2.73,-43.42,0.45
8,20,2.0,69.09,26,30.8,3.46,-2.43,-43.57,0.45
8,20,0.5,68.44,28,46.4,0.7,-1.3,-43.5,0.45
10,20,2.0,68.41,22,31.8,2.77,-2.47,-44.54,0.45
12,15,2.0,68.02,23,34.8,3.28,-2.32,-44.54,0.44
5,20,2.0,67.58,29,34.5,3.35,-2.68,-43.42,0.44
10,15,1.0,66.85,26,34.6,1.47,-1.7,-43.5,0.44
10,15,0.5,54.34,29,37.9,0.76,-0.95,-43.04,0.39
